post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:attr_label_translations,meta:total_sales,meta:wcml_sync_hash,meta:attribute_brand,meta:attribute_color,meta:attribute_length,attribute:Color,attribute_data:Color,attribute_default:Color,attribute:Length,attribute_data:Length,attribute_default:Length,attribute:brand,attribute_data:brand,attribute_default:brand,attribute:color,attribute_data:color,attribute_default:color
"test variable (Color) - Yellow",test-variable-yellow,8039806012492,8039806012495,,"color: Yellow",publish,,3,"2025-09-17 09:39:26",1,closed,,wefdwefwgw,,no,no,,300,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable/,,,,,,,,,,,Yellow,,,,,,,,,,,,,
"test variable (Color + Size)",test-variable-color-size,,8039806012496,,,publish,,0,"2025-09-19 11:43:40",1,open,,,,no,no,,,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,variable,,Uncategorized,,,,,,,,,"Red | Black | Blue | Gren",1|1|1,,"10 | 12 | 14 | 18",0|1|1,,,,,,,
"test variable (Color + Size) - 10, Red",test-variable-color-size-red-10,8039806012496,8039806012498,,"Length: 10, Color: Red",publish,,1,"2025-09-18 10:30:43",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Red,10,,,,,,,,,,,,
"test variable (Color + Size) - 10, Black",test-variable-color-size-black-10,8039806012496,8039806012499,,"Length: 10, Color: Black",publish,,2,"2025-09-18 10:30:43",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Black,10,,,,,,,,,,,,
"test variable (Color + Size) - 10, Blue",test-variable-color-size-blue-10,8039806012496,8039806012500,,"Length: 10, Color: Blue",publish,,3,"2025-09-18 10:30:43",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Blue,10,,,,,,,,,,,,
"test variable (Color + Size) - 10, Gren",test-variable-color-size-gren-10,8039806012496,8039806012501,,"Length: 10, Color: Gren",publish,,4,"2025-09-18 10:30:43",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Gren,10,,,,,,,,,,,,
"test variable (Color + Size) - 12, Red",test-variable-color-size-red-12,8039806012496,8039806012502,,"Length: 12, Color: Red",publish,,5,"2025-09-18 10:30:43",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Red,12,,,,,,,,,,,,
"test variable (Color + Size) - 12, Black",test-variable-color-size-black-12,8039806012496,8039806012503,,"Length: 12, Color: Black",publish,,6,"2025-09-18 10:30:43",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Black,12,,,,,,,,,,,,
"test variable (Color + Size) - 12, Blue",test-variable-color-size-blue-12,8039806012496,8039806012504,,"Length: 12, Color: Blue",publish,,7,"2025-09-18 10:30:43",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Blue,12,,,,,,,,,,,,
"test variable (Color + Size) - 12, Gren",test-variable-color-size-gren-12,8039806012496,8039806012505,,"Length: 12, Color: Gren",publish,,8,"2025-09-18 10:30:44",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Gren,12,,,,,,,,,,,,
"test variable (Color + Size) - 14, Red",test-variable-color-size-red-14,8039806012496,8039806012506,,"Length: 14, Color: Red",publish,,9,"2025-09-18 10:30:44",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Red,14,,,,,,,,,,,,
"test variable (Color + Size) - 14, Black",test-variable-color-size-black-14,8039806012496,8039806012507,,"Length: 14, Color: Black",publish,,10,"2025-09-18 10:30:44",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Black,14,,,,,,,,,,,,
"test variable (Color + Size) - 14, Blue",test-variable-color-size-blue-14,8039806012496,8039806012508,,"Length: 14, Color: Blue",publish,,11,"2025-09-18 10:30:44",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Blue,14,,,,,,,,,,,,
"test variable (Color + Size) - 14, Gren",test-variable-color-size-gren-14,8039806012496,8039806012509,,"Length: 14, Color: Gren",publish,,12,"2025-09-18 10:30:44",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Gren,14,,,,,,,,,,,,
"test variable (Color + Size) - 18, Red",test-variable-color-size-red-18,8039806012496,8039806012510,,"Length: 18, Color: Red",publish,,13,"2025-09-18 10:30:44",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Red,18,,,,,,,,,,,,
"test variable (Color + Size) - 18, Black",test-variable-color-size-black-18,8039806012496,8039806012511,,"Length: 18, Color: Black",publish,,14,"2025-09-18 10:30:44",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Black,18,,,,,,,,,,,,
"test variable (Color + Size) - 18, Blue",test-variable-color-size-blue-18,8039806012496,8039806012512,,"Length: 18, Color: Blue",publish,,15,"2025-09-18 10:30:44",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Blue,18,,,,,,,,,,,,
"test variable (Color + Size) - 18, Gren",test-variable-color-size-gren-18,8039806012496,8039806012513,,"Length: 18, Color: Gren",publish,,16,"2025-09-18 10:30:44",1,closed,,,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable-color-size/,,,,,,,,,,,Gren,18,,,,,,,,,,,,
"Live Wonderful All Season Purple Lavender Flower Tree Healthy Live Plant For Home Garden Outdoor Indoor plant in Black Pot",mnaul-variation,,8039806012514,,,publish,,0,"2025-09-19 15:07:15",1,open,EDF12D,,,no,no,10,,,123,10,120,33,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/03/wtch1.webp ! alt :  ! title : wtch1 ! desc :  ! caption :  | https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/167113861-531ebbcd-f9b5-4c18-b5c7-a878d5017ca2.jpeg ! alt :  ! title : 167113861-531ebbcd-f9b5-4c18-b5c7-a878d5017ca2.jpeg ! desc :  ! caption :  | https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/03/wtch1.webp ! alt :  ! title : wtch1 ! desc :  ! caption :  | https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/03/wtch1.webp ! alt :  ! title : wtch1 ! desc :  ! caption :  | https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/03/wtch1.webp ! alt :  ! title : wtch1 ! desc :  ! caption :  | https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/292839.jpg ! alt :  ! title :  ! desc :  ! caption :  | https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/292839.jpg ! alt :  ! title :  ! desc :  ! caption :  | https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/292839.jpg ! alt :  ! title :  ! desc :  ! caption :  | https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/292839.jpg ! alt :  ! title :  ! desc :  ! caption :  | https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/167113811-0be977aa-edfe-4a09-b36d-a62f02de4a29.jpeg ! alt :  ! title : 167113811-0be977aa-edfe-4a09-b36d-a62f02de4a29.jpeg ! desc :  ! caption :  | https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/167113811-0be977aa-edfe-4a09-b36d-a62f02de4a29.jpeg ! alt :  ! title : 167113811-0be977aa-edfe-4a09-b36d-a62f02de4a29.jpeg ! desc :  ! caption :  | https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/167113811-0be977aa-edfe-4a09-b36d-a62f02de4a29.jpeg ! alt :  ! title : 167113811-0be977aa-edfe-4a09-b36d-a62f02de4a29.jpeg ! desc :  ! caption :  | https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/167113801-fd8243b7-8465-4f82-86c1-2c54797fe296.jpeg ! alt :  ! title : 167113801-fd8243b7-8465-4f82-86c1-2c54797fe296.jpeg ! desc :  ! caption : ",,https://wordpress-319567-5178156.cloudwaysapps.com/product/mnaul-variation/,,variable,,Uncategorized,,,,,,,,,,,,,,,"adidas | Puan",0|1|1,,"Blue | Red",1|1|1,
"Live Wonderful All Season Purple Lavender Flower Tree Healthy Live Plant For Home Garden Outdoor Indoor plant in Black Pot - adidas",mnaul-variation,8039806012514,8039806012515,,"brand: adidas",publish,,1,"2025-09-19 15:07:39",1,closed,,EDF12D,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/mnaul-variation/,,,,,,,,,,adidas,,,,,,,,,,,,,,
"Live Wonderful All Season Purple Lavender Flower Tree Healthy Live Plant For Home Garden Outdoor Indoor plant in Black Pot - adidas, Blue",mnaul-variation-blue-adidas,8039806012514,8039806012516,,"brand: adidas, color: Blue",publish,,2,"2025-09-22 11:41:23",1,closed,,EDF12D,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/mnaul-variation/,,,,,,,,,,adidas,Blue,,,,,,,,,,,,,
"Live Wonderful All Season Purple Lavender Flower Tree Healthy Live Plant For Home Garden Outdoor Indoor plant in Black Pot - adidas, Red",mnaul-variation-red-adidas,8039806012514,8039806012517,,"brand: adidas, color: Red",publish,,3,"2025-09-22 11:41:23",1,closed,,EDF12D,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/mnaul-variation/,,,,,,,,,,adidas,Red,,,,,,,,,,,,,
"Live Wonderful All Season Purple Lavender Flower Tree Healthy Live Plant For Home Garden Outdoor Indoor plant in Black Pot - Puan, Blue",mnaul-variation-blue-puan,8039806012514,8039806012518,,"brand: Puan, color: Blue",publish,,4,"2025-09-22 11:41:23",1,closed,,EDF12D,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/mnaul-variation/,,,,,,,,,,Puan,Blue,,,,,,,,,,,,,
"Live Wonderful All Season Purple Lavender Flower Tree Healthy Live Plant For Home Garden Outdoor Indoor plant in Black Pot - Puan, Red",mnaul-variation-red-puan,8039806012514,8039806012519,,"brand: Puan, color: Red",publish,,5,"2025-09-22 11:41:23",1,closed,,EDF12D,,no,no,,,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/mnaul-variation/,,,,,,,,,,Puan,Red,,,,,,,,,,,,,
"Samsung s222 Ultra",samsung-s22,,8039806012524,,,publish,,0,"2025-10-01 10:27:20",1,open,,,,no,no,,10000,5000,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/samsung-s22/,,simple,,Uncategorized,,,,,,,,,,,,,,,,,,,,
"Vivo T3 Ultra 1",t3-ultra,,8039806012525,,,publish,,0,"2025-10-01 17:29:03",1,open,,,,no,no,,50000,30000,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/t3-ultra/,,simple,,Uncategorized,,,,,,,,,,,,,,,,,,,,
downloadable,downloadable,,8039806012541,,,publish,,0,"2025-10-14 10:02:26",1,open,wefqEG,,8039806012496|8039806012492,no,no,,20,10,,,,,,instock,no,no,,no,taxable,8039806012513,,,,,,'-1,'-1,https://www.test.com,"Buy Test",,,https://wordpress-319567-5178156.cloudwaysapps.com/product/downloadable/,,external,,Uncategorized,,,,,,,,,,,,,,,,,,,,
"aa test simple product",aa-test-simple-product,,8039806012542,,,publish,,0,"2025-10-17 16:25:53",1,open,,,,no,no,,10,8,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/aa-test-simple-product/,,simple,,Uncategorized,,,,,,,,,,,,,,,,,,,,
"aa test variable product 1111",aa-test-variable-product,,8039806012543,,,publish,,0,"2025-10-17 16:27:02",1,open,,,,no,no,,70,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/aa-test-variable-product/,mi|samsung,variable,,Uncategorized,,,,,,,,,,,,"10 cm | 20 cm | 30 cm",0|1|1,,,,,,,
"aa test variable product 1111 - 10 cm",aa-test-variable-product-10-cm,8039806012543,8039806012544,,"Length: 10 cm",publish,,1,"2025-10-17 16:26:57",1,closed,,,,no,no,,100,70,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/aa-test-variable-product/,,,,,,,,,,,,"10 cm",,,,,,,,,,,,
"aa test variable product 1111 - 20 cm",aa-test-variable-product-20-cm,8039806012543,8039806012545,,"Length: 20 cm",publish,,2,"2025-10-17 16:26:57",1,closed,,,,no,no,,200,100,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/aa-test-variable-product/,,,,,,,,,,,,"20 cm",,,,,,,,,,,,
"aa test variable product 1111 - 30 cm",aa-test-variable-product-30-cm,8039806012543,8039806012546,,"Length: 30 cm",publish,,3,"2025-10-17 16:26:57",1,closed,,,,no,no,,300,200,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/aa-test-variable-product/,,,,,,,,,,,,"30 cm",,,,,,,,,,,,
